iter	Passed	Remaining
404	7983	21584
405	8001	21561
406	8018	21534
407	8037	21511
408	8056	21489
409	8072	21462
410	8090	21436
411	8108	21413
412	8128	21394
413	8149	21378
414	8166	21349
415	8185	21328
416	8204	21306
417	8223	21286
418	8240	21260
419	8258	21235
420	8276	21212
421	8296	21193
422	8316	21174
423	8336	21154
424	8356	21135
425	8376	21117
426	8394	21093
427	8413	21074
428	8434	21056
429	8452	21033
430	8470	21008
431	8489	20987
432	8506	20962
433	8525	20939
434	8544	20918
435	8564	20901
436	8584	20880
437	8604	20863
438	8626	20849
439	8644	20825
440	8660	20798
441	8676	20768
442	8696	20749
443	8714	20725
444	8732	20702
445	8750	20680
446	8768	20656
447	8788	20636
448	8807	20616
449	8825	20592
450	8842	20567
451	8861	20545
452	8877	20519
453	8899	20505
454	8919	20484
455	8938	20464
456	8957	20443
457	8975	20420
458	8995	20401
459	9010	20372
460	9030	20352
461	9047	20328
462	9066	20306
463	9087	20290
464	9104	20265
465	9124	20246
466	9142	20222
467	9161	20202
468	9181	20183
469	9203	20169
470	9223	20151
471	9243	20131
472	9262	20110
473	9279	20086
474	9297	20062
475	9316	20043
476	9339	20028
477	9356	20005
478	9377	19987
479	9394	19962
480	9412	19941
481	9431	19919
482	9452	19903
483	9473	19886
484	9493	19867
485	9513	19850
486	9531	19825
487	9551	19807
488	9569	19783
489	9585	19758
490	9601	19730
491	9619	19707
492	9636	19682
493	9653	19658
494	9673	19639
495	9691	19617
496	9710	19597
497	9730	19577
498	9747	19554
499	9768	19536
500	9787	19516
501	9806	19496
502	9827	19479
503	9844	19453
504	9863	19434
505	9881	19411
506	9899	19389
507	9918	19368
508	9938	19348
509	9954	19323
510	9974	19304
511	9992	19282
512	10012	19264
513	10032	19245
514	10049	19221
515	10068	19199
516	10084	19173
517	10105	19156
518	10124	19136
519	10142	19115
520	10160	19091
521	10178	19070
522	10198	19051
523	10217	19031
524	10234	19007
525	10254	18987
526	10272	18966
527	10292	18947
528	10310	18924
529	10328	18902
530	10344	18876
531	10364	18858
532	10383	18838
533	10400	18814
534	10418	18792
535	10436	18770
536	10457	18752
537	10474	18729
538	10492	18706
539	10508	18681
540	10528	18663
541	10548	18644
542	10567	18624
543	10583	18599
544	10601	18576
545	10619	18555
546	10640	18537
547	10659	18517
548	10678	18498
549	10698	18479
550	10718	18460
551	10736	18438
552	10755	18418
553	10775	18399
554	10793	18378
555	10811	18356
556	10826	18329
557	10845	18308
558	10863	18287
559	10882	18266
560	10901	18246
561	10917	18221
562	10938	18204
563	10956	18183
564	10975	18163
565	10994	18143
566	11011	18120
567	11030	18099
568	11049	18079
569	11069	18060
570	11088	18040
571	11106	18019
572	11123	17995
573	11142	17976
574	11162	17956
575	11179	17933
576	11198	17914
577	11218	17895
578	11237	17875
579	11255	17853
580	11273	17832
581	11291	17810
582	11310	17790
583	11327	17766
584	11344	17744
585	11363	17723
586	11379	17699
587	11397	17677
588	11415	17656
589	11434	17636
590	11452	17614
591	11472	17596
592	11488	17572
593	11508	17553
594	11527	17533
595	11546	17513
596	11561	17487
597	11580	17467
598	11597	17445
599	11616	17425
600	11636	17406
601	11656	17387
602	11671	17362
603	11687	17337
604	11706	17317
605	11723	17295
606	11742	17275
607	11762	17256
608	11781	17236
609	11797	17213
610	11814	17190
611	11835	17172
612	11854	17152
613	11869	17127
614	11885	17103
615	11905	17084
616	11923	17063
617	11943	17045
618	11961	17024
619	11980	17004
620	11998	16983
621	12017	16963
622	12035	16942
623	12051	16918
624	12070	16899
625	12091	16881
626	12110	16862
627	12127	16839
628	12149	16824
629	12164	16798
630	12181	16776
631	12199	16754
632	12215	16731
633	12235	16712
634	12256	16695
635	12273	16672
636	12292	16653
637	12309	16631
638	12328	16611
639	12346	16589
640	12364	16569
641	12383	16550
642	12404	16532
643	12420	16509
644	12439	16489
645	12456	16467
646	12473	16444
647	12488	16420
648	12507	16399
649	12526	16381
650	12543	16357
651	12559	16335
652	12577	16314
653	12594	16292
654	12610	16268
655	12628	16247
656	12647	16227
657	12667	16210
658	12687	16191
659	12707	16172
660	12724	16151
661	12743	16131
662	12762	16112
