iter	TotalF1:average=Macro	MultiClass
238	0.8035331073	0.5077091155
239	0.8036031458	0.5074035588
240	0.8037745336	0.5071046504
241	0.8038597306	0.5067647533
242	0.8040328242	0.5064388332
243	0.8040694103	0.5060902986
244	0.8041416963	0.5057717072
245	0.8042219307	0.5054680351
246	0.804319616	0.5051447848
247	0.8044110831	0.5048368724
248	0.8045729966	0.5045495329
249	0.8046840616	0.5042700457
250	0.804709677	0.5039653266
251	0.8048709403	0.5035866918
252	0.8050545523	0.5032764238
253	0.8049835084	0.5029256906
254	0.8050437638	0.5026492919
255	0.8051023753	0.5023732597
256	0.8052683395	0.5020825176
257	0.8053762909	0.5017740818
258	0.8054900664	0.5014990965
259	0.805527964	0.5012288225
260	0.8057169414	0.5009854032
261	0.805764989	0.5007239238
262	0.805859138	0.5004903983
263	0.8058853732	0.5001971435
264	0.80585479	0.4999486464
265	0.8060839616	0.4996755456
266	0.8061755099	0.4993751191
267	0.8063681987	0.4990390434
268	0.8063893678	0.4987657856
269	0.8064902462	0.4984777656
270	0.8067332957	0.4981627863
271	0.8068088948	0.4978582242
272	0.8069209031	0.4976015085
273	0.8069322473	0.4973102952
274	0.8070941857	0.496983014
275	0.8071584343	0.4966980302
276	0.8072418043	0.4964320488
277	0.8072636758	0.4961631883
278	0.8073406923	0.4959002955
279	0.8075808702	0.4956074071
280	0.8076230392	0.4953774936
281	0.8076555863	0.4951184745
282	0.8077275311	0.4948492999
283	0.8078771618	0.4945989183
284	0.8078520323	0.4943663351
285	0.8079295781	0.494126266
286	0.8081472226	0.4938745757
287	0.8081870724	0.4936591627
288	0.8083711176	0.4933996725
289	0.8085003367	0.4931814851
290	0.8087205207	0.4929602091
291	0.8087157234	0.492716371
292	0.8089739722	0.4924127512
293	0.8091359489	0.4921591763
294	0.8091266325	0.4919428734
295	0.8092352691	0.4916850583
296	0.8093652951	0.4914048382
297	0.8094039975	0.4911350354
298	0.8094242075	0.4908987878
299	0.8095483329	0.4906592946
300	0.8096352402	0.490413415
301	0.8096622342	0.4901624052
302	0.8098791363	0.4899144316
303	0.8098584149	0.4896761424
304	0.8100564552	0.4894355499
305	0.8100848282	0.4892071545
306	0.8102527478	0.4889667191
307	0.8102245193	0.488743925
308	0.8102568206	0.4885330663
309	0.8103043526	0.488286192
310	0.8104648219	0.488080097
311	0.8104845077	0.4878400803
312	0.8106103976	0.4876311585
313	0.8106655443	0.4874217132
314	0.8108430557	0.4871820106
315	0.8109306109	0.486945763
316	0.8108905422	0.4867274709
317	0.8110359014	0.486428196
318	0.8111024713	0.4861970785
319	0.8110492599	0.4859882614
320	0.8111160097	0.4857768269
321	0.811132559	0.4855444007
322	0.8112885525	0.4852901977
323	0.8113353442	0.4850086689
324	0.811317129	0.4848018933
325	0.8114214208	0.484607472
326	0.8114834682	0.4843767209
327	0.8115940596	0.4841423579
328	0.811619262	0.4839210295
329	0.811641103	0.4836842585
330	0.811758187	0.4833712684
331	0.8118182478	0.4831309376
332	0.8118983546	0.4829052643
333	0.8122417793	0.4826433661
334	0.8122786013	0.4823919899
335	0.8122929707	0.4821571033
336	0.8124421551	0.4819572378
337	0.8124841021	0.4816907852
338	0.8126387347	0.4814760528
339	0.8127505754	0.4812498037
340	0.812830859	0.4810363276
341	0.8127670754	0.4808174596
342	0.812921429	0.4806506781
343	0.8130494413	0.4804027569
344	0.8131323615	0.4801834178
345	0.8132311895	0.479976014
346	0.8132141563	0.479756989
347	0.8133106096	0.4795773299
348	0.8134355644	0.4793912319
349	0.8134608619	0.4791986427
350	0.8135520347	0.4789896686
351	0.8136242174	0.4787559337
352	0.813629682	0.4785798866
353	0.8137706652	0.4783643689
354	0.8138244441	0.4781139349
355	0.8138671075	0.4779066359
356	0.8139190683	0.4777214802
357	0.8139368266	0.4774698945
358	0.8140683086	0.4772918582
359	0.8141673572	0.477060636
360	0.8141923724	0.476865063
361	0.814223121	0.4766630511
362	0.8144327416	0.4764469053
363	0.8145520897	0.4762309165
364	0.8145587518	0.4760717255
365	0.814651781	0.4758648452
366	0.8147147381	0.475686233
367	0.8148470228	0.4754946908
368	0.8149532945	0.4752905851
369	0.8150089409	0.4750846471
370	0.815011902	0.4749155623
371	0.8151072923	0.4747281556
372	0.8151928169	0.4745317974
373	0.815217832	0.4743695178
374	0.8154099159	0.4741737354
375	0.8154375875	0.4739590553
376	0.8155789043	0.4737528032
377	0.8157212045	0.4735372332
378	0.8156895017	0.4732716706
379	0.8157655172	0.4730702346
380	0.8158476246	0.4728195912
381	0.815874027	0.4726524956
382	0.8160284321	0.4724479711
383	0.8161195018	0.4722530786
384	0.8161370824	0.4721096968
385	0.8163027272	0.471895069
386	0.8163064198	0.4716789755
387	0.8164031025	0.471474765
388	0.8164765986	0.4712916509
389	0.8165677895	0.4710734634
390	0.8166272723	0.4708152819
391	0.8168369724	0.4706015964
392	0.816885232	0.4704358619
393	0.8169487076	0.4702515437
394	0.8170051464	0.4700439306
395	0.8170135279	0.4698575709
396	0.8170755483	0.4696303272
397	0.8171273504	0.4694718168
398	0.817175045	0.4692691767
399	0.817278492	0.4691179427
400	0.8173791944	0.4689326299
401	0.8174688152	0.468737528
402	0.8175688872	0.4685280827
403	0.8175853907	0.4683387915
404	0.8176629775	0.4681771402
405	0.8176564423	0.4680048621
406	0.8177860941	0.4678354632
407	0.8179427742	0.4676021995
408	0.8180375551	0.4674104479
409	0.8180555389	0.4672180158
410	0.8181068956	0.467039927
411	0.8181175719	0.4668666544
412	0.8182298204	0.4666799282
413	0.8182578925	0.4664910034
414	0.8183605221	0.466332493
415	0.8183869845	0.4661404796
416	0.8184467091	0.4659758968
417	0.8184851747	0.4657975463
418	0.8184845332	0.4656389835
419	0.8186769707	0.4654690088
420	0.818685966	0.4653017038
421	0.8187617637	0.4651273842
422	0.818865983	0.4649621208
423	0.81896068	0.4647821476
424	0.8189578092	0.4646211767
425	0.8189243843	0.4643838298
426	0.8190022639	0.4641964755
427	0.8191315287	0.4640147224
428	0.8191608348	0.4638380995
429	0.8192528226	0.4636911056
430	0.8193017259	0.4635358931
431	0.8192730314	0.4633671224
432	0.8193578235	0.4632221178
433	0.8194133466	0.463060257
434	0.8194685472	0.4629004378
435	0.8194967785	0.4626995777
436	0.8195784998	0.4625118045
437	0.8196623589	0.4623583718
438	0.8198216349	0.4621463615
439	0.8198831796	0.4619582219
440	0.8199263357	0.4618219071
441	0.8199390941	0.4616756461
